ContinentID,RegionID
7,1
3,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
7,27
1,28
2,29
2,30
3,31
7,32
3,33
3,34
3,35
2,36
9,37
7,38
7,39
8,40
2,41
7,42
9,43
3,44
3,45
3,46
3,47
3,48
3,49
5,50
1,51
1,52
2,53
8,54
1,55
3,56
2,57
8,58
1,59
1,60
3,61
2,62
1,63
1,64
1,65
1,66
1,67
8,68
8,69
3,70
3,71
3,72
3,73
2,74
9,75
7,76
3,77
1,78
2,79
8,80
8,81
8,82
8,83
8,84
8,85
8,86
8,87
8,88
8,89
8,90
8,91
8,92
8,93
8,94
8,95
8,96
8,97
8,98
8,99
8,100
8,101
8,102
8,103
8,104
8,105
8,106
8,107
8,108
2,109
2,110
7,111
8,112
3,113
2,114
2,115
3,116
3,117
3,118
3,119
3,120
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,128
3,129
3,130
3,131
3,132
3,133
3,134
3,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
3,144
3,145
3,146
3,147
3,148
3,150
3,151
8,152
8,153
8,154
8,155
8,156
8,157
8,158
8,159
8,160
8,161
8,162
8,163
8,164
8,165
2,166
7,167
2,168
7,169
2,170
2,171
2,172
6,173
1,174
8,175
8,176
8,177
8,178
2,179
2,180
2,181
2,182
6,183
6,184
9,185
3,186
5,187
8,188
2,189
3,190
1,191
1,192
1,193
7,194
1,195
2,196
8,197
8,198
3,199
6,200
8,201
2,202
3,204
3,205
3,206
8,207
2,208
2,209
2,210
9,211
6,212
1,213
7,214
1,215
1,216
1,217
1,218
8,219
2,220
8,221
2,222
7,223
1,224
2,225
2,226
2,227
2,228
2,229
6,230
2,231
7,232
1,233
1,234
3,235
3,236
3,237
8,238
2,239
8,240
8,241
8,242
6,243
6,244
6,245
6,246
9,247
8,248
1,249
1,250
7,251
7,252
3,253
3,254
3,255
3,256
3,257
3,258
3,259
3,260
3,261
3,262
3,263
3,264
3,265
3,266
3,267
3,268
3,269
3,270
3,271
3,272
3,273
3,274
3,275
3,276
3,277
3,278
7,279
7,280
1,281
1,282
3,283
3,284
3,285
1,286
1,287
1,288
2,289
8,290
3,291
3,292
3,293
3,294
3,295
8,296
3,297
7,298
3,299
9,300
2,301
5,302
3,303
3,304
3,305
3,306
3,307
1,308
1,309
7,310
3,311
3,312
3,313
7,314
3,315
2,316
3,317
3,318
2,319
3,320
8,321
8,322
8,323
8,324
8,325
8,326
8,327
8,328
8,329
8,330
2,331
6,332
6,333
7,334
3,335
3,336
3,337
3,338
7,339
7,340
9,341
7,342
2,343
2,344
6,345
2,346
2,347
3,348
7,349
7,350
2,351
2,352
3,353
3,354
7,355
3,356
3,357
2,358
2,359
2,360
9,361
6,362
6,363
6,364
6,365
7,366
7,367
7,368
2,369
7,370
7,371
7,372
7,373
7,374
7,375
7,376
7,377
7,378
7,379
7,380
7,381
7,382
7,383
7,384
7,385
7,386
7,387
7,388
7,389
7,390
7,391
7,392
7,393
7,394
7,395
7,396
7,397
7,398
7,399
7,400
7,401
7,402
7,403
7,404
3,405
2,406
2,407
7,408
7,409
3,410
3,411
3,412
3,413
3,414
3,415
3,416
3,417
3,418
7,419
7,420
3,421
1,422
7,423
5,424
5,425
7,426
7,427
2,428
2,429
8,430
8,431
8,432
3,433
1,434
6,435
7,436
5,437
5,438
5,439
6,440
7,441
6,442
3,443
3,444
7,445
7,446
7,447
7,448
7,449
5,450
5,451
2,452
3,453
7,454
7,455
3,456
7,457
7,458
3,459
3,460
3,461
8,462
8,463
7,464
7,465
8,466
3,467
6,468
6,469
1,470
1,471
3,472
8,473
5,474
5,475
7,476
2,477
7,478
2,479
1,480
1,481
1,482
1,483
1,484
1,485
2,486
3,487
6,488
6,489
1,490
7,491
3,492
7,493
6,494
3,495
3,496
6,497
7,498
2,499
2,500
2,501
9,502
1,503
1,504
2,505
3,506
5,507
2,508
3,509
3,510
2,511
1,512
1,513
1,514
3,515
9,516
2,517
2,518
3,519
3,520
8,521
1,522
8,523
8,524
8,525
1,526
1,527
2,528
3,529
2,530
5,531
8,532
3,533
3,534
3,535
3,536
3,537
3,538
3,539
9,540
7,541
7,542
3,543
3,544
2,545
6,546
6,547
6,548
6,549
8,550
6,551
6,552
1,553
2,554
3,555
6,556
3,557
2,558
2,559
2,560
2,561
3,562
2,563
1,564
1,565
8,566
7,567
3,568
6,569
8,570
7,571
5,572
3,573
8,574
7,575
6,576
6,577
7,578
5,579
5,580
7,581
3,582
3,583
3,584
8,585
8,586
8,587
8,588
8,589
8,590
7,591
2,592
3,593
7,594
7,595
3,596
3,597
3,598
3,599
1,600
1,601
1,602
1,603
1,604
1,605
1,606
7,607
2,608
2,609
2,610
3,611
